연도,생산량(T),생산액(천원),생산액(억),매출액(천원),매출액(억)
2002,19269737,35388130152,353881.3015,36388079110,363880.7911
2003,16878174,21046377006,210463.7701,23909245249,239092.4525
2004,23431972,30045258292,300452.5829,33181087253,331810.8725
2005,22585880,29579376574,295793.7657,33335150360,333351.5036
2006,25147665,32694772305,326947.7231,35699307123,356993.0712
2007,24701702,33147999104,331479.991,37365857444,373658.5744
2008,24382413,36649627163,366496.2716,39298783847,392987.8385
2009,36533598,40408833378,404088.3338,44440638918,444406.3892
2010,26996594,34548229978,345482.2998,38790939006,387909.3901
2011,26192584,40318186189,403181.8619,44448301187,444483.0119
2012,33836234,43478331108,434783.3111,47327653596,473276.536
2013,39858807,47387774991,473877.7499,54028196292,540281.9629
2014,35812205,49530575375,495305.7538,53736286078,537362.8608
2015,33178577,46503763210,465037.6321,56139024556,561390.2456
2016,35254359,47833643885,478336.4389,59000502743,590005.0274
2017,34739799,48843995314,488439.9531,61170907877,611709.0788
2018,38184496,52085626853,520856.2685,63576595612,635765.9561
2019,36904978,53511139034,535111.3903,65408225552,654082.2555
2020,39311193,54359924539,543599.2454,66119498181,661194.9818
2021,44700321,59787111377,597871.1138,72454963683,724549.6368
,,,,,
